scanned 7490 files, 298006 distinct identifiers

file                                               symbol                                     line self
nodes\_otr_bark_lib.py                             _HIGH_BAND_ARTIFACT_THRESHOLD               588 2
nodes\_otr_captions.py                             MAX_LINES_PER_CUE                            77 2
nodes\_otr_captions.py                             CAPTION_MARGIN_X                             81 2
nodes\_otr_captions.py                             TITLE_OUTLINE_W                             261 2
nodes\_otr_captions.py                             TITLE_SHADOW                                262 2
nodes\_otr_captions.py                             _TITLE_STYLE_LINE                           263 2
nodes\_otr_cast_validator.py                       ALLOWED_PASS1_KEYS                           25 2
nodes\_otr_character_roster.py                     _ROSTER_HEADINGS                             49 2
nodes\_otr_character_roster.py                     _END_OF_ROSTER                               56 2
nodes\_otr_character_roster.py                     _BACKREF_RE                                  69 2
nodes\_otr_character_roster.py                     _GROUP_HEADER_RE                             73 2
nodes\_otr_character_roster.py                     _COUNTED_ENTRY_RE                           111 2
nodes\_otr_character_roster.py                     _COUNT_WORDS                                116 2
nodes\_otr_character_roster.py                     _counted_aliases                            158 2
nodes\_otr_clean_transaction.py                    _has_authorship_receipt                      96 2
nodes\_otr_compose_exchange.py                     _grounding_pool                             270 2
nodes\_otr_compose_exchange.py                     _CastShim                                   898 2
nodes\_otr_compose_exchange.py                     _normalize_cast                             908 2
nodes\_otr_content_safety.py                       _SafetyLinePatch                             87 2
nodes\_otr_continuity.py                           _cast_description                           340 2
nodes\_otr_cue_manifest.py                         _music_row_from_manifest                    260 2
nodes\_otr_decode_guard.py                         _CHECK_EVERY                                 96 2
nodes\_otr_decode_guard.py                         MIN_CYCLE_WORDS                             130 2
nodes\_otr_decode_guard.py                         MAX_OPEN_STRING_TOKENS                      155 2
nodes\_otr_delivery_vector.py                      _iter_dialogue_lines                        176 2
nodes\_otr_determinism.py                          _enter_sdpa_math                             98 2
nodes\_otr_dramatic_state_llm.py                   _CONFRONTATION_SHAPES                        67 2
nodes\_otr_dramatic_state_llm.py                   _ARC_SHAPE_GUIDANCE                         216 2
nodes\_otr_feed_fetch.py                           _ARTICLE_MEDIA_TYPES                         92 2
nodes\_otr_feed_fetch.py                           _REDIRECT_STATUS                             95 2
nodes\_otr_feed_fetch.py                           _XML_DECL_RE                                 97 2
nodes\_otr_feed_fetch.py                           _META_CHARSET_RE                             99 2
nodes\_otr_feed_fetch.py                           _read_bounded                               265 2
nodes\_otr_feed_fetch.py                           _require_https                              374 2
nodes\_otr_freeze_cascade.py                       _run_inline_safety_cleanup                  671 2
nodes\_otr_gender_pronoun_scan.py                  _MALE_WORDS                                 116 2
nodes\_otr_gender_pronoun_scan.py                  _FEMALE_WORDS                               117 2
nodes\_otr_gender_pronoun_scan.py                  _ARTICLES                                   119 2
nodes\_otr_gender_pronoun_scan.py                  _strip_article                              146 2
nodes\_otr_gender_pronoun_scan.py                  _shared_forms                               216 2
nodes\_otr_gender_pronoun_scan.py                  _self_designation                           233 2
nodes\_otr_gender_pronoun_scan.py                  _preceding_word                             254 2
nodes\_otr_generation_budget.py                    REROLLABLE_PHASES                            67 2
nodes\_otr_gguf_backend.py                         _UNSAFE_PATH_RE                             142 2
nodes\_otr_gguf_backend.py                         _build_rows_by_repo                         329 2
nodes\_otr_gguf_backend.py                         _resolve_effective_n_ctx                    419 2
nodes\_otr_gguf_backend.py                         _resolve_gguf_seed                          442 2
nodes\_otr_gguf_backend.py                         _LEADING_DANGLING_THINK_RE                  697 2
nodes\_otr_gguf_backend.py                         _merge_stop_tokens                          755 2
nodes\_otr_gguf_backend.py                         _site_packages_candidates                   827 2
nodes\_otr_google_api\client.py                    _error_message                               60 2
nodes\_otr_google_api\client.py                    _absolute_url                               207 2
nodes\_otr_google_api\llm.py                       _messages_to_google                          26 2
